id,amount,payment_channel,device_type,transaction_time,location,high_value_tx_count,account_creation_date,is_verified,transaction_time_weekday
TX0000,466478.66483965155,web,iOS,2024-10-23 12:49:32.888551,"Lagos, Nigeria",6,2024-01-05 12:49:32.908206,True,Wednesday
TX0001,785474.380829295,web,Mac,2024-10-20 12:49:32.888570,"London, UK",6,2024-07-01 12:49:32.908214,False,Sunday
TX0002,266140.7829879023,ATM,Mac,2024-10-23 12:49:32.888572,"New York, USA",9,2024-01-01 12:49:32.908217,False,Wednesday
TX0003,727914.4190600452,POS,Mac,2024-10-22 12:49:32.888574,"Lagos, Nigeria",7,2024-06-16 12:49:32.908219,False,Tuesday
TX0004,701869.0064482552,web,Mac,2024-10-17 12:49:32.888577,"London, UK",1,2024-10-26 12:49:32.908221,True,Thursday
TX0005,726420.3612868248,mobile,Android,2024-10-31 12:49:32.888580,"Berlin, Germany",9,2024-04-06 12:49:32.908223,True,Thursday
TX0006,387991.86533703975,mobile,Windows,2024-10-25 12:49:32.888583,"London, UK",2,2024-06-22 12:49:32.908225,False,Friday
TX0007,668475.3500208203,web,Mac,2024-10-30 12:49:32.888585,"Berlin, Germany",9,2024-05-23 12:49:32.908227,False,Wednesday
TX0008,828934.2735603566,mobile,Windows,2024-10-16 12:49:32.888587,"Lagos, Nigeria",3,2024-08-01 12:49:32.908229,True,Wednesday
TX0009,428779.16794437997,ATM,Android,2024-11-14 12:49:32.888589,"London, UK",4,2023-12-17 12:49:32.908231,False,Thursday
TX0010,686500.4063515045,ATM,Android,2024-10-17 12:49:32.888591,"Berlin, Germany",5,2024-06-28 12:49:32.908233,False,Thursday
TX0011,741507.5576766307,mobile,Windows,2024-11-06 12:49:32.888593,"New York, USA",6,2023-12-04 12:49:32.908235,True,Wednesday
TX0012,345312.6036869987,web,iOS,2024-10-27 12:49:32.888595,"New York, USA",1,2024-04-20 12:49:32.908237,False,Sunday
TX0013,555241.3769916003,ATM,iOS,2024-11-07 12:49:32.888597,"New York, USA",6,2024-01-04 12:49:32.908239,False,Thursday
TX0014,50755.81684873778,ATM,Windows,2024-10-16 12:49:32.888598,"Lagos, Nigeria",8,2024-01-07 12:49:32.908240,True,Wednesday
